region	month	monthName	workType	category	plants	growMethod	text	detail	source
srednyaya-polosa	yanvar	ЯНВАРЬ	obrabotka	ogorod	kartofel,morkov,svekla,luk,chesnok	grunt	Осмотр хранящихся картофеля, моркови, свёклы, лука, чеснока на предмет гнили — выбраковка повреждённых экземпляров. Планирование севооборота для профилактики почвенных вредителей и болезней.		
srednyaya-polosa	yanvar	ЯНВАРЬ	obrabotka	dekor	tuya,mozhzhevelnik,samshit	grunt	Осмотр туи, можжевельника, самшита на признаки зимнего подсушивания и грибковых пятен под снегом (снежное шютте).		
srednyaya-polosa	fevral	ФЕВРАЛЬ	obrabotka	ogorod	tomat,kapusta,perets	rassada,grunt	Продолжение контроля хранящихся овощей. Подготовка почвы и семян — протравливание семян томата, перца, капусты слабым раствором марганцовки или биофунгицидом перед посевом на рассаду.	1%-й раствор марганцовки (1 г на 100 мл воды) — замочить семена на 20-30 минут, затем промыть чистой водой. Из биопрепаратов — «Фитоспорин-М» по инструкции на упаковке, действует мягче. Семена в цветной оболочке (уже заводская обработка) повторно не протравливают.	
srednyaya-polosa	fevral	ФЕВРАЛЬ	obrabotka	dekor	gortenziya,roza	grunt	Осмотр роз, гортензий под укрытием на плесень — при обнаружении приоткрыть укрытие для проветривания.		
srednyaya-polosa	mart	МАРТ	obrabotka	ogorod	tomat,kapusta,perets	rassada,grunt	Обработка почвы в теплицах медным купоросом или биофунгицидом после схода снега. Профилактическая обработка рассады томата, перца, капусты от чёрной ножки (раствор фитоспорина).		
srednyaya-polosa	mart	МАРТ	obrabotka	dekor	barbaris,spireya,doren,puzyreplodnik,veygela,chubushnik	grunt	В конце марта – начале апреля — обработка 3%-й бордоской жидкостью (искореняющее опрыскивание) по спящим почкам — барбарис, спирея, пузыреплодник, дёрен, чубужник, вейгела; проводят при устойчивом дневном тепле +5 °C и выше, без ночных заморозков в ближайшие сутки. Обработка почвы под кустами от перезимовавших вредителей (тля, клещи) до распускания почек.	3%-й раствор бордоской жидкости (300 г медного купороса + 400 г извести на 10 л воды) готовят непосредственно перед применением, не хранят. Опрыскивают в сухую безветренную погоду при +4…+10°C строго по спящим почкам — до их распускания, иначе возможны ожоги молодой листвы.	
srednyaya-polosa	mart	МАРТ	obrabotka	dekor	tuya,mozhzhevelnik,samshit	grunt	Опрыскивание туи, можжевельника, самшита от грибковых инфекций (шютте) фунгицидом на основе меди.	От шютте на туе, можжевельнике, самшите — ХОМ (хлорокись меди, 40 г на 10 л воды, не выше +30°C) или 1%-я бордоская жидкость (+5…+25°C), опрыскивание по кроне в сухую погоду. Для более длительной защиты (20-28 суток) подойдёт системный фунгицид «Ракурс» (эпоксиконазол + ципроконазол, СК) по инструкции на упаковке — эффективен при температуре от +10°C, действует и профилактически, и лечебно.	
srednyaya-polosa	aprel	АПРЕЛЬ	obrabotka	ogorod	kartofel,morkov,luk,chesnok	grunt	Искореняющая обработка почвы на грядках от проволочника и медведки (посев горчицы, ловушки). Профилактика фитофторы на картофеле — протравливание клубней перед посадкой. Обработка чеснока и лука от луковой мухи (высадка рядом с морковью, обработка золой).	От проволочника — инсектицид «Землин» (диазинон) при перекопке или приманочные ловушки из кусочков картофеля, закопанные на 5-7 см (проверять и уничтожать содержимое каждые 3-4 дня). От медведки — гранулированные приманки «Медветокс» или «Гризли» в бороздки. Клубни картофеля перед посадкой протравливают «Максимом» или «Престижем» (заодно защищает от фитофторы) строго по инструкции на упаковке.	
srednyaya-polosa	aprel	АПРЕЛЬ	obrabotka	dekor	barbaris,spireya,puzyreplodnik,gortenziya,roza	grunt	В конце апреля – начале мая — опрыскивание от тли и клещей на розах, спирее, барбарисе, пузыреплотнике: пиретроидными препаратами при дневных +12 °C и выше (в жару за +25 °C эффективность падает), биопрепаратами — не раньше устойчивых +15 °C. Профилактика мучнистой росы на флоксах и гортензии.	От тли и клещей — Инта-Вир или биопрепарат Фитоверм (менее токсичен, можно применять чаще, действует медленнее; эффективнее в тепле — от +12°C, лучше при +18°C и выше). От мучнистой росы на флоксах и гортензии — медьсодержащие препараты (ХОМ — не выше +30°C, 1%-я бордоская жидкость — +5…+25°C) или системный фунгицид на основе тиофанат-метила по инструкции на упаковке.	
srednyaya-polosa	aprel	АПРЕЛЬ	obrabotka	dekor	tuya,mozhzhevelnik,samshit,el,sosna	grunt	Обработка от тли-хермеса и паутинного клеща (актуально для ели и сосны) в начале активного роста. Профилактика фузариоза у молодых саженцев хвойных — полив под корень фунгицидом.	От тли-хермеса и паутинного клеща — специализированный инсектицид для хвойных «Пиноцид» (2 мл на 10 л воды, стадия «зелёный конус» — «розовый бутон», от +10°C) или «Актара» (тиаметоксам, системного действия; +10…+29°C, оптимально +12…+25°C); при слабом поражении — биопрепарат «Фитоверм» (эффективнее в тепле — от +12°C, лучше при +18°C и выше). От фузариоза молодых саженцев — полив под корень «Фитоспорином-М» или «Превикуром» по инструкции, повторяют через 2 недели при сохранении симптомов.	
