id	name	category	group	hasSeedlingStage	regions	icon	family	feed	perennial
tomat	Томат	ogorod	ovoshi	да		tomato	paslen	2	
ogurets	Огурец	ogorod	ovoshi	нет		cucumber	tykv	1	
kartofel	Картофель	ogorod	ovoshi	нет		potato	paslen	1	
kapusta	Капуста белокочанная	ogorod	ovoshi	да		cabbage	kapust	1	
morkov	Морковь	ogorod	ovoshi	нет		carrot	seld	2	
svekla	Свёкла	ogorod	ovoshi	нет		beet	amar	2	
luk	Лук репчатый	ogorod	ovoshi	нет		onion	luk	2	
chesnok	Чеснок	ogorod	ovoshi	нет		onion	luk	2	
perets	Перец	ogorod	ovoshi	да		pepper	paslen	1	
kabachok	Кабачок	ogorod	ovoshi	нет		gourd	tykv	1	
tykva	Тыква	ogorod	ovoshi	нет		gourd	tykv	1	
redis	Редис	ogorod	ovoshi	нет		root-round	kapust	3	
gorokh	Горох	ogorod	ovoshi	нет		pea-pod	bob	4	
ukrop	Укроп	ogorod	ovoshi	нет		herb-sprig	seld	3	
petrushka	Петрушка	ogorod	ovoshi	нет		herb-sprig	seld	2	
hosta	Хоста	dekor	dekorativno-listvennye	нет		hosta			
tuya	Туя	dekor	hvoynye	нет		conifer-thuja			
mozhzhevelnik	Можжевельник	dekor	hvoynye	нет		conifer-thuja			
samshit	Самшит	dekor	dekorativno-listvennye	нет		shrub-leaf			
barbaris	Барбарис	dekor	dekorativno-listvennye	нет		shrub-leaf			
spireya	Спирея	dekor	dekorativno-listvennye	нет		shrub-leaf			
doren	Дёрен (кизил)	dekor	dekorativno-listvennye	нет		shrub-leaf			
puzyreplodnik	Пузыреплодник	dekor	dekorativno-listvennye	нет		shrub-leaf			
gortenziya	Гортензия	dekor	dekorativno-listvennye	нет		hydrangea			
klen	Клён (декоративные формы)	dekor	dekorativno-listvennye	нет		shrub-leaf			
bereskleet	Бересклет	dekor	dekorativno-listvennye	нет		shrub-leaf			
lapchatka	Лапчатка	dekor	dekorativno-listvennye	нет		shrub-leaf			
veygela	Вейгела	dekor	dekorativno-listvennye	нет		shrub-leaf			
chubushnik	Чубушник	dekor	dekorativno-listvennye	нет		shrub-leaf			
roza	Роза	dekor	dekorativno-listvennye	нет		rose			
plyushch	Плющ	dekor	dekorativno-listvennye	нет		shrub-leaf			
paporotnik	Папоротник	dekor	dekorativno-listvennye	нет		fern			
astilba	Астильба	dekor	dekorativno-listvennye	нет		fern			
brunnera	Бруннера	dekor	dekorativno-listvennye	нет		hosta			
geyhera	Гейхера	dekor	dekorativno-listvennye	нет		hosta			
bazilik	Базилик	ogorod	zelen	да		herb-sprig	yasn	3	
salat	Салат листовой	ogorod	zelen	нет		leaf-green	astr	3	
kinza	Кинза (кориандр)	ogorod	zelen	нет		herb-sprig	seld	3	
rukkola	Руккола	ogorod	zelen	нет		herb-sprig	kapust	3	
smorodina	Смородина	sad	yagoda	нет		berry-currant			
kryzhovnik	Крыжовник	sad	yagoda	нет		gooseberry			
malina	Малина	sad	yagoda	нет		berry-raspberry			
zhimolost	Жимолость	sad	yagoda	нет		berry-currant			
yablonya	Яблоня	sad	derevo	нет		apple			
grusha	Груша	sad	derevo	нет		pear			
sliva	Слива	sad	derevo	нет		stone-fruit			
vishnya	Вишня	sad	derevo	нет		stone-fruit			
pion	Пион	dekor	mnogoletnik	нет		peony			
floks	Флокс	dekor	mnogoletnik	нет		peony			
liliya	Лилия	dekor	mnogoletnik	нет		lily			
baklazhan	Баклажан	ogorod	ovoshi	да		eggplant	paslen	1	
kukuruza	Кукуруза сахарная	ogorod	ovoshi	нет		corn	zlak	1	
fasol	Фасоль	ogorod	ovoshi	нет		pea-pod	bob	4	
